[11.128] : n = 2; d = 0.00
[11.129] : n = 3; d = 0.50
[11.130] : n = 1; d = 0.00
[11.131] : n = 3; d = 0.50
[11.132] : n = 3; d = 0.50
[11.133] : n = 2; d = 0.00
[11.134] : n = 3; d = 0.50
[11.135] : n = 1; d = 0.00
[11.136] : n = 3; d = 0.50
[11.137] : n = 3; d = 0.50
[11.138] : n = 2; d = 0.00
[11.139] : n = 3; d = 0.50
[11.140] : n = 1; d = 0.00
[11.141] : n = 3; d = 0.50
[11.142] : n = 3; d = 0.50
[11.143] : n = 2; d = 0.00
[11.144] : n = 3; d = 0.50
[11.145] : n = 1; d = 0.00
[11.146] : n = 3; d = 0.50
[11.147] : n = 3; d = 0.50
[11.148] : n = 2; d = 0.00
[11.149] : n = 3; d = 0.50
[11.150] : n = 1; d = 0.00
[11.151] : n = 3; d = 0.50
[11.152] : n = 3; d = 0.50
[11.153] : n = 2; d = 0.00
[11.154] : n = 3; d = 0.50
[11.155] : n = 1; d = 0.00
[11.156] : n = 3; d = 0.50
[11.157] : n = 3; d = 0.50
[11.158] : n = 2; d = 0.00
[11.159] : n = 3; d = 0.50
[11.160] : n = 1; d = 0.00
[11.161] : n = 3; d = 0.50
[11.162] : n = 3; d = 0.50
[11.163] : n = 2; d = 0.00
[11.164] : n = 3; d = 0.50
[11.165] : n = 1; d = 0.00
[11.166] : n = 3; d = 0.50
[11.167] : n = 3; d = 0.50
[11.168] : n = 2; d = 0.00
[11.169] : n = 3; d = 0.50
[11.170] : n = 1; d = 0.00
[11.171] : n = 3; d = 0.50
[11.172] : n = 3; d = 0.50
[11.173] : n = 2; d = 0.00
[11.174] : n = 3; d = 0.50
[11.175] : n = 1; d = 0.00
[11.176] : n = 3; d = 0.50
[11.177] : n = 3; d = 0.50
[11.178] : n = 2; d = 0.00
[11.179] : n = 3; d = 0.50
[11.180] : n = 1; d = 0.00
[11.181] : n = 3; d = 0.50
[11.182] : n = 3; d = 0.50
[11.183] : n = 2; d = 0.00
[11.184] : n = 3; d = 0.50
[11.185] : n = 1; d = 0.00
[11.186] : n = 3; d = 0.50
[11.187] : n = 3; d = 0.50
[11.188] : n = 2; d = 0.00
[11.189] : n = 3; d = 0.50
[11.190] : n = 1; d = 0.00
[11.191] : n = 3; d = 0.50
[11.192] : n = 3; d = 0.50
[11.193] : n = 2; d = 0.00
[11.194] : n = 3; d = 0.50
[11.195] : n = 1; d = 0.00
[11.196] : n = 3; d = 0.50
[11.197] : n = 3; d = 0.50
[11.198] : n = 2; d = 0.00
[11.199] : n = 3; d = 0.50
[11.200] : n = 1; d = 0.00
[12.1] : n = 1; d = 0.00
[12.2] : n = 1; d = 0.00
[12.3] : n = 1; d = 0.00
[12.4] : n = 1; d = 0.00
[12.5] : n = 1; d = 0.00
[12.6] : n = 1; d = 0.00
[12.7] : n = 1; d = 0.00
[12.8] : n = 1; d = 0.00
[12.9] : n = 1; d = 0.00
[12.10] : n = 1; d = 0.00
[12.11] : n = 1; d = 0.00
[12.12] : n = 1; d = 0.00
[12.13] : n = 1; d = 0.00
[12.14] : n = 1; d = 0.00
[12.15] : n = 1; d = 0.00
[12.16] : n = 1; d = 0.00
[12.17] : n = 1; d = 0.00
[12.18] : n = 1; d = 0.00
[12.19] : n = 1; d = 0.00
[12.20] : n = 1; d = 0.00
[12.21] : n = 1; d = 0.00
[12.22] : n = 1; d = 0.00
[12.23] : n = 1; d = 0.00
[12.24] : n = 1; d = 0.00
[12.25] : n = 1; d = 0.00
[12.26] : n = 1; d = 0.00
[12.27] : n = 1; d = 0.00
[12.28] : n = 1; d = 0.00
[12.29] : n = 1; d = 0.00
[12.30] : n = 1; d = 0.00
[12.31] : n = 1; d = 0.00
[12.32] : n = 1; d = 0.00
[12.33] : n = 1; d = 0.00
[12.34] : n = 1; d = 0.00
[12.35] : n = 1; d = 0.00
[12.36] : n = 1; d = 0.00
[12.37] : n = 1; d = 0.00
[12.38] : n = 1; d = 0.00
[12.39] : n = 1; d = 0.00
[12.40] : n = 1; d = 0.00
[12.41] : n = 1; d = 0.00
[12.42] : n = 1; d = 0.00
[12.43] : n = 1; d = 0.00
[12.44] : n = 1; d = 0.00
[12.45] : n = 1; d = 0.00
[12.46] : n = 1; d = 0.00
[12.47] : n = 1; d = 0.00
[12.48] : n = 1; d = 0.00
[12.49] : n = 1; d = 0.00
[12.50] : n = 1; d = 0.00
[12.51] : n = 1; d = 0.00
[12.52] : n = 1; d = 0.00
[12.53] : n = 1; d = 0.00
[12.54] : n = 1; d = 0.00
[12.55] : n = 1; d = 0.00
[12.56] : n = 1; d = 0.00
[12.57] : n = 1; d = 0.00
[12.58] : n = 1; d = 0.00
[12.59] : n = 1; d = 0.00
[12.60] : n = 1; d = 0.00
[12.61] : n = 1; d = 0.00
[12.62] : n = 1; d = 0.00
[12.63] : n = 1; d = 0.00
[12.64] : n = 1; d = 0.00
[12.65] : n = 1; d = 0.00
[12.66] : n = 1; d = 0.00
[12.67] : n = 1; d = 0.00
[12.68] : n = 1; d = 0.00
[12.69] : n = 1; d = 0.00
[12.70] : n = 1; d = 0.00
[12.71] : n = 1; d = 0.00
[12.72] : n = 1; d = 0.00
[12.73] : n = 1; d = 0.00
[12.74] : n = 1; d = 0.00
[12.75] : n = 1; d = 0.00
[12.76] : n = 1; d = 0.00
[12.77] : n = 1; d = 0.00
[12.78] : n = 1; d = 0.00
[12.79] : n = 1; d = 0.00
[12.80] : n = 1; d = 0.00
[12.81] : n = 1; d = 0.00
[12.82] : n = 1; d = 0.00
[12.83] : n = 1; d = 0.00
[12.84] : n = 1; d = 0.00
[12.85] : n = 1; d = 0.00
[12.86] : n = 1; d = 0.00
[12.87] : n = 1; d = 0.00
[12.88] : n = 1; d = 0.00
[12.89] : n = 1; d = 0.00
[12.90] : n = 1; d = 0.00
[12.91] : n = 1; d = 0.00
[12.92] : n = 1; d = 0.00
[12.93] : n = 1; d = 0.00
[12.94] : n = 1; d = 0.00
[12.95] : n = 1; d = 0.00
[12.96] : n = 1; d = 0.00
[12.97] : n = 1; d = 0.00
[12.98] : n = 1; d = 0.00
[12.99] : n = 1; d = 0.00
[12.100] : n = 1; d = 0.00
[12.101] : n = 1; d = 0.00
[12.102] : n = 1; d = 0.00
[12.103] : n = 1; d = 0.00
[12.104] : n = 1; d = 0.00
[12.105] : n = 1; d = 0.00
[12.106] : n = 1; d = 0.00
[12.107] : n = 1; d = 0.00
[12.108] : n = 1; d = 0.00
[12.109] : n = 1; d = 0.00
[12.110] : n = 1; d = 0.00
[12.111] : n = 1; d = 0.00
[12.112] : n = 1; d = 0.00
[12.113] : n = 1; d = 0.00
[12.114] : n = 1; d = 0.00
[12.115] : n = 1; d = 0.00
[12.116] : n = 1; d = 0.00
[12.117] : n = 1; d = 0.00
[12.118] : n = 1; d = 0.00
[12.119] : n = 1; d = 0.00
